key	text	tooltip
#Loc;1;text/db/tcs_advice_info_texts__.loc		
advice_info_texts_localised_text_tcs.battle.advice.tcs_guide.info_001	Welcome to Tabletop Combat Simulator	false
advice_info_texts_localised_text_tcs.battle.advice.tcs_guide.info_002	Tabletop Combat Simulator (TCS) aims to mimic the way Warhammer is played on the tabletop. Players will take turns activating their units, as they progress through different phases.	false
advice_info_texts_localised_text_tcs.battle.advice.tcs_guide.info_003	This tour will provides an introduction to controls and features of TCS.	false
advice_info_texts_localised_text_tcs.battle.advice.tcs_guide.info_004	Start	false
advice_info_texts_localised_text_tcs.battle.advice.controls.info_001	Phase Controls	false
advice_info_texts_localised_text_tcs.battle.advice.controls.info_002	In the top right of your screen you can find the controls that allow you to progress to the next phase as well as give you information about the current active player. 	false
advice_info_texts_localised_text_tcs.battle.advice.controls.info_003	You can progress to the next phase by either clicking the 'fast forward' button, or the square button that follows the current active phase. You can recognize active phases by their distinct golden border.	false
advice_info_texts_localised_text_tcs.battle.advice.controls.info_004	Phases progress as follows; a battleshock phase in which units rout when losing combat -> a Hero Phase in which you are supposed to cast any damaging spells or summons -> a Movement phase that allows units to move about for a set duration -> a Shooting phase in which ranged units can fire their missile weapons -> a Charge phase that allows units to bridge the gap between them and an opponent -> a Fight phase in which both players get to activate their units to fight anohter unit within engagement range	false
advice_info_texts_localised_text_tcs.battle.advice.activations.info_001	Unit Activations	false
advice_info_texts_localised_text_tcs.battle.advice.activations.info_002	Units have abilities that allow them to perform 'Activations' depending on the current active phase. Such activations allow a unit to move and or fight depending on whether they are engaged with an enemy or other relevant factors.	false
advice_info_texts_localised_text_tcs.battle.advice.activations.info_003	Moving & Running allows units to move about, but beware that you cannot run into combat; a unit will be forcefully stopped at the engagement range of an opponent. Charging is a targetted ability that does allow the unit to move within engagement range, but has a chance to fail. The further the charge the greater the chance of failure.	false
advice_info_texts_localised_text_tcs.battle.advice.activations.info_004	Units can Shoot and Fight in their respective phases, it's up to the player's discretion how and when abilities are used. Note that to get out of combat with another unit you have to use a retreat command that prevents your unit from taking other actions that turn.	false
advice_info_texts_localised_text_tcs.battle.advice.unit_info.info_001	Unit Info	false
advice_info_texts_localised_text_tcs.battle.advice.unit_info.info_002	In the Unit Info panel you can see when a Unit is activated and for how long. A text bar on top provides you with information about internal rolls that have been made and the passive effect bar shows when a unit has their attacks or movement disabled.	false
advice_info_texts_localised_text_tcs.battle.advice.unit_info.info_003	The Unit Status bar atop the Info Panel shows you, after activating a unit, some info about that activation. Typically the duration of the activation is shown, but sometimes you can find information about the failure to activate an ability, like failing a dice roll.	false
advice_info_texts_localised_text_tcs.battle.advice.unit_info.info_004	There are 3 main passives that govern your units, Inactive Fight, Shoot and Stationary. Note that they disappear for the duration of their respective activations to allow a unit to either melee, fire missiles, or move about.	false
